id,name,host_id,host_name,host_since,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,calculated_host_listings_count
25339003,"An Amazing 4Bedroom Home, Central London, Sleeps12",191329110,Emily,2018-05-24,51.52865,-0.19998,Entire house,Entire home/apt,12,,4.0,9.0,$226.00,2,1125,23,64,1
40259218,Large Double Room - Maida Vale,302720259,Mantas,2019-10-16,51.52594000000001,-0.18909,Private room in apartment,Private room,2,,1.0,1.0,$41.00,1,24,365,4,5
20097666,Zone 1 : Spacious single bedroom in Bayswater,39710946,Thanyawan,2015-07-27,51.51743,-0.18702,Private room in apartment,Private room,1,,1.0,1.0,$35.00,4,1125,0,0,1
40868766,Large Smart Room 20 minutes walk to Big Ben,300905210,Nadia,2019-10-08,51.48951,-0.11812,Private room in apartment,Private room,2,,1.0,2.0,$55.00,2,1125,230,4,3
29649371,Large Notting Hill 2BR near Portobello Rd,2165973,Emily & Kirsty,2012-04-18,51.52007,-0.20328,Entire apartment,Entire home/apt,4,,2.0,2.0,$100.00,3,1125,0,15,1
6650370,Quiet flat with private garden in Barons Court,3440336,Emily,2012-09-01,51.48863,-0.21495,Entire apartment,Entire home/apt,2,,1.0,1.0,$68.00,2,30,0,45,1
42405264,Superhost's Lux 3B Luxury Flat- 397 5-Star Reviews,28381203,Emrah,2015-02-26,51.56214,-0.23681,Entire apartment,Entire home/apt,8,,3.0,6.0,$150.00,2,1125,365,0,27
13501585,Lovely and bright garden flat,42097052,Tommaso,2015-08-21,51.55646,-0.10387,Entire apartment,Entire home/apt,6,,3.0,3.0,$110.00,14,1125,0,0,1
36162322,Covent Garden Private Room with Shared Living Room,8033408,Che,2013-08-08,51.51228,-0.12788,Room in serviced apartment,Hotel room,2,,1.0,1.0,$130.00,2,1125,0,1,1
20631005,Double Room with private bathroom,42411592,Pascale,2015-08-24,51.47273,-0.04183,Private room in house,Private room,2,,1.0,1.0,$45.00,2,1125,340,2,2
32175015,Warm 1BR garden flat in leafy Hampstead (Veeve),137094377,Veeve,2017-06-26,51.547,-0.17704,Entire apartment,Entire home/apt,4,,1.0,1.0,$166.00,4,1125,246,0,267
38406649,Single  in NW2,192355301,Nilgun,2018-05-29,51.56214,-0.22505,Private room in house,Private room,1,,1.0,1.0,$29.00,3,1125,363,1,3
21315952,single bedroom near heathrow london free parking,154284698,Mark,2017-10-12,51.43955,-0.40618,Private room,Private room,1,,1.0,1.0,$20.00,3,7,89,69,1
16361918,Luxury New Apartment with Spa and Pool,4221972,Emile,2012-11-23,51.53099,-0.09709,Entire apartment,Entire home/apt,4,,2.0,2.0,$150.00,50,1125,3,2,4
39556787,Stylish Family Maisonette in Vibrant South London,39738485,Holly,2015-07-27,51.42263,-0.16713,Entire apartment,Entire home/apt,4,,2.0,3.0,$102.00,2,365,0,1,1
26542484,Single/double room facing garden,5160322,Dan,2013-02-20,51.46852,-0.09454,Private room in apartment,Private room,2,,1.0,1.0,$29.00,3,30,365,9,1
